year,Season_type,RANK,PLAYER,"['TEAM', 'GP', 'MIN', 'FGM', 'FGA', 'FG_PCT', 'FG3M', 'FG3A', 'FG3_PCT', 'FTM', 'FTA', 'FT_PCT', 'OREB', 'DREB', 'REB', 'AST', 'STL', 'BLK', 'TOV', 'PF', 'PTS', 'AST_TOV']"
2012-13,Playoffs,107,Larry Sanders,"['MIL', '4', '113', '19', '33', '0.576', '0', '0', '0.0', '5', '11', '0.455', '11', '22', '33', '5', '3', '5', '12', '18', '43', '0.42']"
2012-13,Playoffs,109,Darius Morris,"['LAL', '4', '105', '16', '35', '0.457', '3', '9', '0.333', '7', '9', '0.778', '1', '4', '5', '12', '2', '0', '6', '6', '42', '2.0']"
2012-13,Playoffs,110,Avery Bradley,"['BOS', '6', '191', '17', '42', '0.405', '2', '8', '0.25', '4', '4', '1.0', '3', '10', '13', '8', '11', '1', '11', '11', '40', '0.73']"
2012-13,Playoffs,110,Brandon Bass,"['BOS', '6', '204', '14', '29', '0.483', '0', '0', '0.0', '12', '15', '0.8', '8', '32', '40', '7', '2', '1', '5', '17', '40', '1.4']"
2012-13,Playoffs,112,Eric Bledsoe,"['LAC', '6', '97', '15', '30', '0.5', '1', '9', '0.111', '8', '12', '0.667', '2', '13', '15', '18', '2', '3', '5', '10', '39', '3.6']"
2012-13,Playoffs,113,Chauncey Billups,"['LAC', '6', '115', '11', '36', '0.306', '6', '17', '0.353', '9', '11', '0.818', '2', '10', '12', '6', '1', '1', '8', '10', '37', '0.75']"
2012-13,Playoffs,113,Chris Copeland,"['NYK', '9', '93', '12', '30', '0.4', '11', '23', '0.478', '2', '2', '1.0', '2', '7', '9', '1', '5', '0', '4', '9', '37', '0.25']"
2012-13,Playoffs,115,Andrew Goudelock,"['LAL', '3', '80', '16', '36', '0.444', '2', '10', '0.2', '2', '2', '1.0', '1', '4', '5', '3', '5', '0', '4', '7', '36', '0.75']"
2012-13,Playoffs,115,Ivan Johnson,"['ATL', '6', '108', '12', '26', '0.462', '0', '0', '0.0', '12', '18', '0.667', '9', '11', '20', '3', '4', '3', '6', '23', '36', '0.5']"
2012-13,Playoffs,117,Luc Mbah a Moute,"['MIL', '4', '136', '10', '23', '0.435', '0', '4', '0.0', '13', '18', '0.722', '4', '10', '14', '7', '4', '0', '5', '9', '33', '1.4']"
2012-13,Playoffs,118,Reggie Evans,"['BKN', '7', '209', '11', '23', '0.478', '0', '0', '0.0', '10', '18', '0.556', '16', '70', '86', '6', '7', '2', '6', '21', '32', '1.0']"
2012-13,Playoffs,119,Kris Humphries,"['BKN', '7', '83', '14', '31', '0.452', '0', '0', '0.0', '3', '7', '0.429', '10', '13', '23', '1', '1', '3', '2', '15', '31', '0.5']"
2012-13,Playoffs,120,Aaron Brooks,"['HOU', '6', '67', '13', '34', '0.382', '1', '9', '0.111', '3', '5', '0.6', '3', '6', '9', '11', '1', '1', '6', '3', '30', '1.83']"
2012-13,Playoffs,120,David Lee,"['GSW', '6', '65', '13', '33', '0.394', '0', '0', '0.0', '4', '6', '0.667', '6', '22', '28', '5', '3', '1', '5', '5', '30', '1.0']"
2012-13,Playoffs,120,Lamar Odom,"['LAC', '6', '107', '11', '30', '0.367', '5', '14', '0.357', '3', '6', '0.5', '4', '19', '23', '11', '5', '5', '10', '16', '30', '1.1']"
2012-13,Playoffs,123,Antawn Jamison,"['LAL', '4', '79', '10', '23', '0.435', '5', '12', '0.417', '4', '6', '0.667', '1', '6', '7', '1', '1', '2', '3', '9', '29', '0.33']"
2012-13,Playoffs,123,Ian Mahinmi,"['IND', '18', '150', '13', '29', '0.448', '0', '0', '0.0', '3', '10', '0.3', '20', '22', '42', '1', '0', '13', '12', '28', '29', '0.08']"
2012-13,Playoffs,123,JJ Redick,"['MIL', '4', '69', '11', '25', '0.44', '4', '12', '0.333', '3', '3', '1.0', '0', '3', '3', '5', '1', '0', '6', '9', '29', '0.83']"
2012-13,Playoffs,123,Johan Petro,"['ATL', '6', '101', '14', '27', '0.519', '0', '0', '0.0', '1', '2', '0.5', '4', '18', '22', '4', '1', '4', '3', '18', '29', '1.33']"
2012-13,Playoffs,127,Steve Blake,"['LAL', '2', '75', '11', '28', '0.393', '5', '12', '0.417', '1', '1', '1.0', '0', '8', '8', '5', '4', '3', '4', '8', '28', '1.25']"
2012-13,Playoffs,128,Keyon Dooling,"['MEM', '14', '114', '8', '24', '0.333', '5', '13', '0.385', '6', '6', '1.0', '0', '5', '5', '4', '1', '0', '3', '14', '27', '1.33']"
2012-13,Playoffs,129,Anthony Randolph,"['DEN', '5', '30', '9', '11', '0.818', '0', '0', '0.0', '8', '11', '0.727', '0', '6', '6', '0', '2', '0', '2', '4', '26', '0.0']"
2012-13,Playoffs,129,Richard Hamilton,"['CHI', '4', '68', '10', '27', '0.37', '3', '7', '0.429', '3', '4', '0.75', '0', '3', '3', '5', '1', '2', '5', '5', '26', '1.0']"
